Group,Start,Mid,P10,P90,Spread,Growth,Safety,Start_Rank,Mid_Rank,Rank_Change,is_STEM,Group_Avg_Start,vs_group_avg
Business,44633.333333333336,75083.33333333333,43566.666666666664,147525.0,103958.33333333333,68.5412086087469,0.4775643457228256,21.458333333333332,24.416666666666668,-2.9583333333333335,0.0,44633.333333333336,-2.4253192047278085e-12
HASS,37186.36363636364,62968.181818181816,34145.454545454544,129363.63636363637,95218.18181818182,68.86193944026198,0.4064532305497245,38.15909090909091,36.27272727272727,1.8863636363636365,0.0,37186.36363636364,-3.3072534609924662e-12
STEM,53862.5,90812.5,56025.0,157625.0,101600.0,70.39638173518932,0.5602225069687898,11.125,11.5,-0.375,1.0,53862.5,0.0
